dmrecord,title,file,link,dpi,viewer,date,creator,publisher,scale,physical_width,physical_height
1492,"[9], uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512011.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1492,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1492,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
1493,"[10], uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512012.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1493,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1493,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
1494,"[11], uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512013.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1494,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1494,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
1495,"[12], uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512014.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1495,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1495,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
1496,"[Registers], uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512015.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1496,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1496,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
1497,"[Gedicht] Op d'afbeeldingh van 's Graven-Haegh, uit: ['s-Gravenhage] / gemeten en gecarteerd door C. Elandts",0106050512016.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1497,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1498/show/1497,1681,Cornelis Elandts 1641-ca.1687,,1:1.400,0,0
5697,"[Kaart], uit: [Afstandenkaart Nederland]",0106054246001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5697,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5699/show/5697,1935,,,1:3.000.000,11,9
5698,"[Afstandenblad], uit: [Afstandenkaart Nederland]",0106054246002.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5698,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5699/show/5698,1935,,,1:3.000.000,11,9
765,"Petit tableau d'assemblage de la carte générale de la guerre en Italie, uit: [Alsace-Franche-Comté / Bacler d'Albe]",0106050335001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/765,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/767/show/765,1798,"Backler d'Albe, L. A. G.",,1:250.000,0,0
766,"Notes Gëographiques, uit: [Alsace-Franche-Comté / Bacler d'Albe]",0106050335002.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/766,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/767/show/766,1798,"Backler d'Albe, L. A. G.",,1:250.000,0,0
2562,[Amsterdam],0106050036001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2562,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2562,1904,,,1:33.000,23,28
1276,"[Recto], uit: [Amsterdam] / H. H.",0106050496001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1276,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1278/show/1276,1552,H. H. (= H. Holzmüller),,1:8.000,0,0
1277,"[Verso], uit: [Amsterdam] / H. H.",0106050496002.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1277,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1278/show/1277,1552,H. H. (= H. Holzmüller),,1:8.000,0,0
2800,[Arras et environs],0106050686001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2800,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2800,1975,,,1:20.000,19,24
2802,[Bar-le-Duc et environs],0106050688001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2802,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2802,1975,,,1:20.000,18,22
5700,"5 Westcapelle, uit: [Belgique 1:40.000]",0106054123001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5700,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5704/show/5700,1873,,,1:40.000,53,84
5701,"13 Bruges, uit: [Belgique 1:40.000]",0106054123002.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5701,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5704/show/5701,1873,,,1:40.000,53,84
5702,"38 Ath, uit: [Belgique 1:40.000]",0106054123003.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5702,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5704/show/5702,1873,,,1:40.000,53,84
5703,"45 Mons, uit: [Belgique 1:40.000]",0106054123004.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5703,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5704/show/5703,1873,,,1:40.000,53,84
2450,[Berlin],0106050239001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2450,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2450,1865,,,1:14.283,45,62
2813,[Bourg et environs],0106050697001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2813,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2813,1975,,,1:20.000,19,23
2426,[Bruxelles],0106050206001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2426,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2426,1920,,,1:12.000,0,0
629,"[No. 4. Cöln], uit: [Carte de l'Europe]",0106050229001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/629,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/632/show/629,1780,,,1:490.000,60,70
630,"[No. 5. Allemagne, Saxe], uit: [Carte de l'Europe]",0106050229002.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/630,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/632/show/630,1780,,,1:490.000,60,70
631,"[No. 6. Silesie], uit: [Carte de l'Europe]",0106050229003.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/631,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/632/show/631,1780,,,1:490.000,60,70
5659,"Verdeelings-Blad, uit: [Choro-mineralogische en algemeene hijdrographische kaart van een gedeelte der Zuidelijke provincien van het Koningrijk der Nederlanden] / ontworpen en volgens onder eigene directie verrigte opnemingen vervaardigd ... door den generaal-majoor en directeur der militaire verkenningen J.E. van Gorkum",0106053118001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5659,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5668/show/5659,1833,Jan Egbert van Gorkum 1781-1862,,1:200.000,53,62
5660,"Bapaume, uit: [Choro-mineralogische en algemeene hijdrographische kaart van een gedeelte der Zuidelijke provincien van het Koningrijk der Nederlanden] / ontworpen en volgens onder eigene directie verrigte opnemingen vervaardigd ... door den generaal-majoor en directeur der militaire verkenningen J.E. van Gorkum",0106053118002.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5660,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5668/show/5660,1833,Jan Egbert van Gorkum 1781-1862,,1:200.000,53,62
5661,"Oostende, uit: [Choro-mineralogische en algemeene hijdrographische kaart van een gedeelte der Zuidelijke provincien van het Koningrijk der Nederlanden] / ontworpen en volgens onder eigene directie verrigte opnemingen vervaardigd ... door den generaal-majoor en directeur der militaire verkenningen J.E. van Gorkum",0106053118003.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5661,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5668/show/5661,1833,Jan Egbert van Gorkum 1781-1862,,1:200.000,53,62
5662,"IJperen, uit: [Choro-mineralogische en algemeene hijdrographische kaart van een gedeelte der Zuidelijke provincien van het Koningrijk der Nederlanden] / ontworpen en volgens onder eigene directie verrigte opnemingen vervaardigd ... door den generaal-majoor en directeur der militaire verkenningen J.E. van Gorkum",0106053118004.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5662,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5668/show/5662,1833,Jan Egbert van Gorkum 1781-1862,,1:200.000,53,62
5663,"Brussel, uit: [Choro-mineralogische en algemeene hijdrographische kaart van een gedeelte der Zuidelijke provincien van het Koningrijk der Nederlanden] / ontworpen en volgens onder eigene directie verrigte opnemingen vervaardigd ... door den generaal-majoor en directeur der militaire verkenningen J.E. van Gorkum",0106053118005.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5663,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5668/show/5663,1833,Jan Egbert van Gorkum 1781-1862,,1:200.000,53,62
5664,"Luik, uit: [Choro-mineralogische en algemeene hijdrographische kaart van een gedeelte der Zuidelijke provincien van het Koningrijk der Nederlanden] / ontworpen en volgens onder eigene directie verrigte opnemingen vervaardigd ... door den generaal-majoor en directeur der militaire verkenningen J.E. van Gorkum",0106053118006.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5664,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5668/show/5664,1833,Jan Egbert van Gorkum 1781-1862,,1:200.000,53,62
5665,"Chimay [variant 1], uit: [Choro-mineralogische en algemeene hijdrographische kaart van een gedeelte der Zuidelijke provincien van het Koningrijk der Nederlanden] / ontworpen en volgens onder eigene directie verrigte opnemingen vervaardigd ... door den generaal-majoor en directeur der militaire verkenningen J.E. van Gorkum",0106053118007.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5665,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5668/show/5665,1833,Jan Egbert van Gorkum 1781-1862,,1:200.000,53,62
5666,"Chimay [variant 2], uit: [Choro-mineralogische en algemeene hijdrographische kaart van een gedeelte der Zuidelijke provincien van het Koningrijk der Nederlanden] / ontworpen en volgens onder eigene directie verrigte opnemingen vervaardigd ... door den generaal-majoor en directeur der militaire verkenningen J.E. van Gorkum",0106053118008.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5666,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5668/show/5666,1833,Jan Egbert van Gorkum 1781-1862,,1:200.000,53,62
5667,"Luxemburg, uit: [Choro-mineralogische en algemeene hijdrographische kaart van een gedeelte der Zuidelijke provincien van het Koningrijk der Nederlanden] / ontworpen en volgens onder eigene directie verrigte opnemingen vervaardigd ... door den generaal-majoor en directeur der militaire verkenningen J.E. van Gorkum",0106053118009.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5667,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5668/show/5667,1833,Jan Egbert van Gorkum 1781-1862,,1:200.000,53,62
917,"[Indexkaart Ring van Putten], uit: [De Ring van Putten] / Bernard de Roy ; nae de metingen gedaen by Daniel Schellincx inden jare 1617",0106050403001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/917,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/922/show/917,1701,"Roy, Bernard de; Schellincx, Daniel",,1:8.000,49,62
918,"[Atlas des digues de Hollande] [50] [Ring van Putten], uit: [De Ring van Putten] / Bernard de Roy ; nae de metingen gedaen by Daniel Schellincx inden jare 1617",0106050403002.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/918,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/922/show/918,1701,"Roy, Bernard de; Schellincx, Daniel",,1:8.000,49,62
919,"[Atlas des digues de Hollande] [51] [Ring van Putten], uit: [De Ring van Putten] / Bernard de Roy ; nae de metingen gedaen by Daniel Schellincx inden jare 1617",0106050403003.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/919,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/922/show/919,1701,"Roy, Bernard de; Schellincx, Daniel",,1:8.000,49,62
920,"[Atlas des digues de Hollande] [52] [Ring van Putten], uit: [De Ring van Putten] / Bernard de Roy ; nae de metingen gedaen by Daniel Schellincx inden jare 1617",0106050403004.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/920,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/922/show/920,1701,"Roy, Bernard de; Schellincx, Daniel",,1:8.000,49,62
921,"[Atlas des digues de Hollande] [53] [Ring van Putten], uit: [De Ring van Putten] / Bernard de Roy ; nae de metingen gedaen by Daniel Schellincx inden jare 1617",0106050403005.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/921,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/922/show/921,1701,"Roy, Bernard de; Schellincx, Daniel",,1:8.000,49,62
3083,"[Département de la Seine]. Paris, No. 5",0106050008001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/3083,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/3083,1975,,,1:40.000,35,47
2804,[Evreux et environs],0106050690001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2804,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2804,1975,,,1:20.000,19,26
2673,[Fragment van een uitbreidingsplan van Amsterdam tussen Overtoomsche Vaart en Boeren Wetering],0106050047001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2673,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2673,1873,,,1:3.333,37,44
5687,[Fritzlar] / hrsg. von der kgl. geologischen Landesanstalt in Berlin ; geognostisch bearb. von F. Beyschlag ... [et al.] 1888-1889,0106053108001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5687,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5687,1892,"Franz Heinrich August Beyschlag 1856-1915; Kgl. geologische Landesanstalt, Berlin",,1:80.000,59,68
2783,"[Gebied Oude Rijn met aanduiding van 'steenen palen met witte koppen, rooden band en ingehakte letter'] : [stroomgebied Oude Rijn bij Pannerden]",0106050669001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2783,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2783,1914,,,1:25.000,39,60
1505,"(No. I), uit: [Generale kaart van het Koningrijk Holland] / [onder leiding van C.R.T. Krayenhoff]",0106050519001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1505,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1507/show/1505,1809,"Krayenhoff, C. R. T.",,1:115.200,79,86
1506,"No. II, uit: [Generale kaart van het Koningrijk Holland] / [onder leiding van C.R.T. Krayenhoff]",0106050519002.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1506,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1507/show/1506,1809,"Krayenhoff, C. R. T.",,1:115.200,79,86
2566,[Geologische kaart van West-Java],0106050193001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2566,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2566,1930,,,1:3.500.000,43,47
5548,"Zone 10, 11, Kol. XXIX, Ökörmezö und Tuchla, uit: [Geologische Specialkarte der im Reichsrathe vertretenen Königreiche und Länder der österreichisch-ungarischen Monarchie] / geologische Aufnahmen der königl. ung. Geologischen Anstalt",0106053127001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5548,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5579/show/5548,1889,Königliche Ungarische Geologische Reichsanstalt; Königliche Ungarische Geologische Anstalt,,1:75.000,0,0
5549,"Zone 10, 11, Kol. XXIX, Ökörmezö und Tuchla, uit: [Geologische Specialkarte der im Reichsrathe vertretenen Königreiche und Länder der österreichisch-ungarischen Monarchie] / geologische Aufnahmen der königl. ung. Geologischen Anstalt",0106053127002.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5549,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5579/show/5549,1889,Königliche Ungarische Geologische Reichsanstalt; Königliche Ungarische Geologische Anstalt,,1:75.000,0,0
5550,"Zone 11, 12, Kol. XXX, Brusztura, uit: [Geologische Specialkarte der im Reichsrathe vertretenen Königreiche und Länder der österreichisch-ungarischen Monarchie] / geologische Aufnahmen der königl. ung. Geologischen Anstalt",0106053127003.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5550,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5579/show/5550,1889,Königliche Ungarische Geologische Reichsanstalt; Königliche Ungarische Geologische Anstalt,,1:75.000,0,0
5551,"Zone 11, 12, Kol. XXX, Brusztura, uit: [Geologische Specialkarte der im Reichsrathe vertretenen Königreiche und Länder der österreichisch-ungarischen Monarchie] / geologische Aufnahmen der königl. ung. Geologischen Anstalt",0106053127004.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5551,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5579/show/5551,1889,Königliche Ungarische Geologische Reichsanstalt; Königliche Ungarische Geologische Anstalt,,1:75.000,0,0
5552,"Zone 12, Kolonne XVII, Umgebung von Nagyszombat, uit: [Geologische Specialkarte der im Reichsrathe vertretenen Königreiche und Länder der österreichisch-ungarischen Monarchie] / geologische Aufnahmen der königl. ung. Geologischen Anstalt",0106053127005.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5552,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5579/show/5552,1889,Königliche Ungarische Geologische Reichsanstalt; Königliche Ungarische Geologische Anstalt,,1:75.000,0,0
5553,"Zone 12, Kol. XXIX, Berezna und Szinevér, uit: [Geologische Specialkarte der im Reichsrathe vertretenen Königreiche und Länder der österreichisch-ungarischen Monarchie] / geologische Aufnahmen der königl. ung. Geologischen Anstalt",0106053127006.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5553,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5579/show/5553,1889,Königliche Ungarische Geologische Reichsanstalt; Königliche Ungarische Geologische Anstalt,,1:75.000,0,0
5554,"Zone 13, Kol. XVII, Umgebung von Szempcz und Tallós, uit: [Geologische Specialkarte der im Reichsrathe vertretenen Königreiche und Länder der österreichisch-ungarischen Monarchie] / geologische Aufnahmen der königl. ung. Geologischen Anstalt",0106053127007.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5554,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5579/show/5554,1889,Königliche Ungarische Geologische Reichsanstalt; Königliche Ungarische Geologische Anstalt,,1:75.000,0,0
5555,"Zone 13, Kol. XVIII, Umgebung von Vágsellye und Nagysurány, uit: [Geologische Specialkarte der im Reichsrathe vertretenen Königreiche und Länder der österreichisch-ungarischen Monarchie] / geologische Aufnahmen der königl. ung. Geologischen Anstalt",0106053127008.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5555,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5579/show/5555,1889,Königliche Ungarische Geologische Reichsanstalt; Königliche Ungarische Geologische Anstalt,,1:75.000,0,0
5556,"Zone 13, Kol. XXX, Gyertyánliget (Kabolapolyána), uit: [Geologische Specialkarte der im Reichsrathe vertretenen Königreiche und Länder der österreichisch-ungarischen Monarchie] / geologische Aufnahmen der königl. ung. Geologischen Anstalt",0106053127009.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5556,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5579/show/5556,1889,Königliche Ungarische Geologische Reichsanstalt; Königliche Ungarische Geologische Anstalt,,1:75.000,0,0
5557,"Zone 13, Kol. XXX, Gyertyánliget (Kabolapolyána), uit: [Geologische Specialkarte der im Reichsrathe vertretenen Königreiche und Länder der österreichisch-ungarischen Monarchie] / geologische Aufnahmen der königl. ung. Geologischen Anstalt",0106053127010.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5557,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5579/show/5557,1889,Königliche Ungarische Geologische Reichsanstalt; Königliche Ungarische Geologische Anstalt,,1:75.000,0,0
5558,"13 zóna, XXXI rovat, Bogdán Vidéke, uit: [Geologische Specialkarte der im Reichsrathe vertretenen Königreiche und Länder der österreichisch-ungarischen Monarchie] / geologische Aufnahmen der königl. ung. Geologischen Anstalt",0106053127011.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5558,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5579/show/5558,1889,Königliche Ungarische Geologische Reichsanstalt; Königliche Ungarische Geologische Anstalt,,1:75.000,0,0
5559,"Zone 14, Col. XV, Environs de Kismarton, uit: [Geologische Specialkarte der im Reichsrathe vertretenen Königreiche und Länder der österreichisch-ungarischen Monarchie] / geologische Aufnahmen der königl. ung. Geologischen Anstalt",0106053127012.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5559,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5579/show/5559,1889,Königliche Ungarische Geologische Reichsanstalt; Königliche Ungarische Geologische Anstalt,,1:75.000,0,0
5560,"Zone 14, Kol. XV, Umgebung von Kismarton, uit: [Geologische Specialkarte der im Reichsrathe vertretenen Königreiche und Länder der österreichisch-ungarischen Monarchie] / geologische Aufnahmen der königl. ung. Geologischen Anstalt",0106053127013.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5560,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5579/show/5560,1889,Königliche Ungarische Geologische Reichsanstalt; Königliche Ungarische Geologische Anstalt,,1:75.000,0,0
5561,"14 Zóna, XVIII Rovat, Érsekujvár és Komárom Vidéke, uit: [Geologische Specialkarte der im Reichsrathe vertretenen Königreiche und Länder der österreichisch-ungarischen Monarchie] / geologische Aufnahmen der königl. ung. Geologischen Anstalt",0106053127014.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5561,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5579/show/5561,1889,Königliche Ungarische Geologische Reichsanstalt; Königliche Ungarische Geologische Anstalt,,1:75.000,0,0
5562,"Zone 14, Kol. XIX, Umgebung von Magyarszölgyén und Párkány-Nána, uit: [Geologische Specialkarte der im Reichsrathe vertretenen Königreiche und Länder der österreichisch-ungarischen Monarchie] / geologische Aufnahmen der königl. ung. Geologischen Anstalt",0106053127015.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5562,300,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5579/show/5562,1889,Königliche Ungarische Geologische Reichsanstalt; Königliche Ungarische Geologische Anstalt,,1:75.000,0,0
